experiment_name,epoch,train_loss,val_miou,learning_rate,optimizer,epoch_time_sec
baseline_100e,1,2.0437486974304058,0.1088779706143346,0.002,Adam,197.13913321495056
baseline_100e,2,1.1811481331805151,0.21209588834296436,0.002,Adam,206.12281918525696
baseline_100e,3,0.8643450004702657,0.28739395315607147,0.002,Adam,206.18320536613464
baseline_100e,4,0.7233566053614158,0.33419291559721875,0.002,Adam,206.53258728981018
baseline_100e,5,0.6797508220427593,0.3600967233114084,0.002,Adam,206.2973291873932
baseline_100e,6,0.6299449608259993,0.4161063252579055,0.002,Adam,206.3358817100525
baseline_100e,7,0.61790934644826,0.40900347715474583,0.002,Adam,205.4539089202881
baseline_100e,8,0.6062660072003743,0.4040263056392559,0.002,Adam,206.70576310157776
baseline_100e,9,0.6044575439689973,0.4093366242789667,0.002,Adam,204.3044719696045
baseline_100e,10,0.5903592242004058,0.4165848291378767,0.002,Adam,205.08978271484375
baseline_100e,11,0.5769969522167728,0.393481873712479,0.002,Adam,204.75798749923706
baseline_100e,12,0.5878834482945001,0.43604440827636937,0.002,Adam,204.0041172504425
baseline_100e,13,0.552162928033095,0.4384900711525821,0.002,Adam,205.09453654289246
baseline_100e,14,0.47681613472610596,0.4660873331445498,0.002,Adam,203.51530027389526
baseline_100e,15,0.45402821191685944,0.47120022617612006,0.002,Adam,204.1739730834961
baseline_100e,16,0.4338492805700214,0.4782343058439869,0.002,Adam,203.8489327430725
baseline_100e,17,0.4049944089767333,0.4972664950552669,0.002,Adam,202.80039882659912
baseline_100e,18,0.408073825798487,0.48527605361631987,0.002,Adam,202.4556381702423
baseline_100e,19,0.3876535126814258,0.5251343635853032,0.002,Adam,202.3556089401245
baseline_100e,20,0.3567995482243411,0.5413474969956327,0.002,Adam,202.110981464386
baseline_100e,21,0.34652936209253327,0.5729116947983222,0.002,Adam,202.01318049430847
baseline_100e,22,0.33321470179262525,0.5575499522829181,0.002,Adam,202.3491747379303
baseline_100e,23,0.3265389207755467,0.5912526401167868,0.002,Adam,201.7507200241089
baseline_100e,24,0.31435266940097406,0.5964141176366935,0.002,Adam,202.02566027641296
baseline_100e,25,0.30968577610095654,0.6314492780631038,0.001,Adam,201.9083878993988
baseline_100e,26,0.28371832984081213,0.6311325472968702,0.001,Adam,201.79721760749817
baseline_100e,27,0.2744271488018501,0.6458274785566412,0.001,Adam,202.6996874809265
baseline_100e,28,0.2699627078902737,0.6498012312462486,0.001,Adam,201.7395031452179
baseline_100e,29,0.26652243547877774,0.6554985407481547,0.001,Adam,202.82655477523804
baseline_100e,30,0.2631617516514812,0.6573879746542248,0.001,Adam,201.56991386413574
baseline_100e,31,0.26130537404059107,0.6689101665439326,0.001,Adam,202.09090662002563
baseline_100e,32,0.25619579480570764,0.6723403215444778,0.001,Adam,202.62841868400574
baseline_100e,33,0.25228522485306143,0.6771613936075151,0.001,Adam,201.59320664405823
baseline_100e,34,0.2533534795870423,0.65923485023976,0.001,Adam,201.5279519557953
baseline_100e,35,0.2502667894770977,0.6758882179639659,0.001,Adam,201.40888953208923
baseline_100e,36,0.2478303052043255,0.6694414855619254,0.001,Adam,202.2023799419403
baseline_100e,37,0.245632476574583,0.6742805031780504,0.001,Adam,201.93175387382507
baseline_100e,38,0.24409146428265277,0.6749049125268058,0.001,Adam,201.87274718284607
baseline_100e,39,0.24222502485408456,0.6628713203384605,0.001,Adam,201.82674193382263
baseline_100e,40,0.24210681206741824,0.6844688104910287,0.001,Adam,202.13169169425964
baseline_100e,41,0.23882807081513724,0.6886508682206305,0.001,Adam,202.1778280735016
baseline_100e,42,0.2372522233090853,0.6789574747310297,0.001,Adam,201.77149295806885
baseline_100e,43,0.2354795709546847,0.6888236485833771,0.001,Adam,201.90846276283264
baseline_100e,44,0.23515796261853067,0.6786253768454803,0.001,Adam,202.07789516448975
baseline_100e,45,0.23377384211038568,0.6829512166131341,0.001,Adam,202.48261332511902
baseline_100e,46,0.23237471148980307,0.6927978276790894,0.001,Adam,202.32066464424133
baseline_100e,47,0.2319880940991899,0.6809596168006793,0.001,Adam,202.87605953216553
baseline_100e,48,0.2316878171188558,0.6822150737088057,0.001,Adam,202.94636297225952
baseline_100e,49,0.22753722416985492,0.6978389407425566,0.001,Adam,202.70166850090027
baseline_100e,50,0.23018086610339847,0.6896604986956922,0.0005,Adam,202.9181559085846
baseline_100e,51,0.21789825038201566,0.692999585983401,0.0005,Adam,202.32841300964355
baseline_100e,52,0.2159142197749046,0.7083175320589608,0.0005,Adam,201.81598949432373
baseline_100e,53,0.2143737928001934,0.7012155580304683,0.0005,Adam,201.26399159431458
baseline_100e,54,0.21356674101159506,0.709278933133326,0.0005,Adam,201.4409773349762
baseline_100e,55,0.21235413787511026,0.7068567800936275,0.0005,Adam,202.32961702346802
baseline_100e,56,0.21356701808680972,0.7070448167049217,0.0005,Adam,201.538649559021
baseline_100e,57,0.2101102196298569,0.7031172527083274,0.0005,Adam,201.84541201591492
baseline_100e,58,0.20916929452315622,0.7013945699842071,0.0005,Adam,201.48209524154663
baseline_100e,59,0.2088389624111423,0.7102014589862325,0.0005,Adam,201.4788463115692
baseline_100e,60,0.21046803853375168,0.7110321255133778,0.0005,Adam,202.32425379753113
baseline_100e,61,0.20919035935629654,0.7041949673373372,0.0005,Adam,201.93958234786987
baseline_100e,62,0.2086425404774813,0.7113540847066153,0.0005,Adam,202.7368586063385
baseline_100e,63,0.2066320245778765,0.7078073633835633,0.0005,Adam,202.7601616382599
baseline_100e,64,0.20556893656140732,0.7180280624741232,0.0005,Adam,202.92587041854858
baseline_100e,65,0.20465593886155542,0.7056037713645729,0.0005,Adam,201.75875449180603
baseline_100e,66,0.20633508910931775,0.7068787101884543,0.0005,Adam,202.84669065475464
baseline_100e,67,0.20562328592590665,0.7072943807134616,0.0005,Adam,201.71648454666138
baseline_100e,68,0.20331087877313767,0.7129400804006623,0.0005,Adam,201.71352338790894
baseline_100e,69,0.2035246926098473,0.7157498640403962,0.0005,Adam,201.76453590393066
baseline_100e,70,0.2030353340000032,0.7088447743264372,0.0005,Adam,202.0643289089203
baseline_100e,71,0.20008532834461398,0.7034598177476121,0.0005,Adam,201.32923579216003
baseline_100e,72,0.20077911746713956,0.7122693803723621,0.0005,Adam,202.0044584274292
baseline_100e,73,0.20174168260358225,0.7196466130561765,0.0005,Adam,201.95520544052124
baseline_100e,74,0.19915075508855548,0.7147882205134217,0.0005,Adam,202.2067153453827
baseline_100e,75,0.2008054320048909,0.7103811608033616,0.00025,Adam,201.4467990398407
baseline_100e,76,0.19413450227777948,0.7213621369388283,0.00025,Adam,202.18385648727417
baseline_100e,77,0.19290044765345193,0.7249535124192638,0.00025,Adam,201.41831946372986
baseline_100e,78,0.19258717403345899,0.7138626279168521,0.00025,Adam,201.71189665794373
baseline_100e,79,0.19139849816661264,0.7175497542559204,0.00025,Adam,201.8660373687744
baseline_100e,80,0.1922434155040265,0.7271480759147062,0.00025,Adam,202.46201515197754
baseline_100e,81,0.1903494922775525,0.7199552099760157,0.00025,Adam,202.66369485855103
baseline_100e,82,0.19156767318960236,0.718568744819813,0.00025,Adam,202.75309562683105
baseline_100e,83,0.18999796225266022,0.719499408416566,0.00025,Adam,203.07043433189392
baseline_100e,84,0.19121820315699017,0.7172287759551875,0.00025,Adam,202.93881583213806
baseline_100e,85,0.1913847561842211,0.7208599260292385,0.00025,Adam,201.35846638679504
baseline_100e,86,0.18880107371585642,0.7241281594917521,0.00025,Adam,201.66221714019775
baseline_100e,87,0.18841170442041516,0.7210517616250864,0.00025,Adam,201.5428969860077
baseline_100e,88,0.19028006323241434,0.7189066597724447,0.00025,Adam,201.69478583335876
baseline_100e,89,0.189359824883608,0.7230032792023061,0.00025,Adam,201.33939361572266
baseline_100e,90,0.19001579526149237,0.7218493399520622,0.00025,Adam,201.80461478233337
baseline_100e,91,0.18943015037396524,0.7228340124362301,0.00025,Adam,202.3225076198578
baseline_100e,92,0.187160737086112,0.7224180377696194,0.00025,Adam,201.59864044189453
baseline_100e,93,0.186568932325551,0.7232666332415169,0.00025,Adam,201.76091957092285
baseline_100e,94,0.18674339190105832,0.7240365264203811,0.00025,Adam,202.1778392791748
baseline_100e,95,0.18744413923761746,0.7261345924737018,0.00025,Adam,201.58160853385925
baseline_100e,96,0.18734095721690866,0.7147659689647634,0.00025,Adam,202.4544882774353
baseline_100e,97,0.1862156250770541,0.7245506994064533,0.00025,Adam,202.05646991729736
baseline_100e,98,0.18694479379690054,0.7259298055094472,0.00025,Adam,201.69460248947144
baseline_100e,99,0.1850221038394766,0.7209902696869981,0.00025,Adam,201.36595964431763
baseline_100e,100,0.1854115648781672,0.7280788943487042,0.000125,Adam,202.12320804595947
